,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,394
43,0,0,0,0,0,3529
44,0,0,0,0,0,8730
45,0,0,0,0,0,8641
46,0,0,0,0,0,8917
47,0,0,0,0,0,7974
48,0,0,0,0,0,9329
49,0,0,0,0,0,10508
50,0,0,0,0,0,8699
51,0,0,0,0,0,7934
52,0,0,0,0,0,11268
53,0,0,0,0,0,12103
54,0,0,0,0,0,12693
55,0,0,0,0,0,9839
56,0,0,0,0,0,12766
57,0,0,0,0,0,10680
58,0,0,0,0,0,11888
59,0,0,0,0,0,11205
60,0,0,0,0,0,9271
61,0,0,0,0,0,9058
62,0,0,0,0,0,8677
63,0,0,0,0,0,13072
64,0,0,0,0,0,11833
65,0,0,0,0,0,9983
66,0,0,0,0,0,10024
67,0,0,0,0,0,11245
68,0,0,0,0,0,9440
69,0,0,0,0,0,9394
70,0,0,0,0,0,9724
71,0,0,0,0,0,10289
72,0,0,0,0,0,9775
73,0,0,0,0,0,9034
74,0,0,0,0,0,12599
75,0,0,0,0,0,9372
76,0,0,0,0,0,8354
77,0,0,0,0,0,8562
78,0,0,0,0,0,8124
79,0,0,0,0,0,8982
80,0,0,0,0,0,6855
81,0,0,0,0,0,9123
82,0,0,0,0,0,11100
83,0,0,0,0,0,7904
84,0,0,0,0,0,7396
85,0,0,0,0,0,7055
86,0,0,0,0,0,7523
87,0,0,0,0,0,6570
88,0,0,0,0,0,5584
89,0,0,0,0,0,6677
90,0,0,0,0,0,6743
91,0,0,0,0,0,5429
92,0,0,0,0,0,6578
93,0,0,0,0,0,5565
94,0,0,0,0,0,5239
95,0,0,0,0,0,5358
96,0,0,0,0,0,4907
97,0,0,0,0,0,3319
98,0,0,0,0,0,3091
99,0,0,0,0,0,3682
100,0,0,0,0,0,3533
101,0,0,0,0,0,4331
102,0,0,0,0,0,4579
103,0,0,0,0,0,6443
104,0,0,0,0,0,3117
105,0,0,0,0,0,3329
106,0,0,0,0,0,3085
107,0,0,0,0,0,2218
108,0,0,0,0,0,2593
109,0,0,0,0,0,4081
110,0,0,0,0,0,2551
111,0,0,0,0,0,1538
112,0,0,0,0,0,1378
113,0,0,0,0,0,706
114,0,0,0,0,0,901
115,0,0,0,0,0,1240
116,0,0,0,0,0,1134
117,0,0,0,0,0,1203
118,0,0,0,0,0,786
119,0,0,0,0,0,1329
120,0,0,0,0,0,1334
121,0,0,0,0,0,450
122,0,0,0,0,0,599
123,0,0,0,0,0,874
124,0,0,0,0,0,1925
125,0,0,0,0,0,1189
126,0,0,0,0,0,0
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,0,0,0
136,0,0,0,0,0,0
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
146,0,0,0,0,0,0
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,0,0,0,0,0,0
153,0,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
159,0,0,0,0,0,0
160,0,0,0,0,0,0
161,0,0,0,0,0,0
162,0,0,0,0,0,0
163,0,0,0,0,0,0
164,0,0,0,0,0,0
165,0,0,0,0,0,0
166,0,0,0,0,0,0
167,44,0,0,0,0,0
168,197,0,0,0,0,0
169,471,0,0,0,0,0
170,560,0,0,0,0,0
171,655,0,0,0,0,0
172,345,0,0,0,0,0
173,363,0,0,0,0,0
174,427,0,0,0,0,0
175,557,0,0,0,0,0
176,652,0,0,0,0,0
177,464,0,0,240,0,0
178,548,0,0,424,0,0
179,374,0,0,575,0,0
180,299,0,0,431,0,0
181,369,0,0,328,0,0
182,506,35,0,386,0,0
183,659,62,0,357,0,0
184,599,89,0,312,0,0
185,846,12,0,284,0,0
186,950,16,0,265,0,0
187,815,79,0,253,0,0
188,1419,7,0,249,0,0
189,1360,55,0,243,0,0
190,1201,35,0,243,0,0
191,1133,134,0,239,0,0
192,859,168,0,482,0,0
193,1327,211,0,670,0,0
194,1339,127,0,1769,0,0
195,1877,237,0,1011,0,0
196,2240,188,0,807,0,0
197,2833,147,0,678,0,0
198,2920,151,0,625,0,0
199,2927,235,0,823,0,0
200,3489,237,0,3937,0,0
