Saturation parameter,T [mu K]
6.185463,0.9148256333575818
7.711504,1.0246928250921339
33.094234,1.9501219326859087
100.403715,3.4266036239931004
253.904601,5.3419852589661385
545.412663,7.452611495178677
1050.268214,9.410338773930306
1848.021614,10.856480698795766
2913.841875,12.092302441470213
4349.452765,13.150482327841521
6033.986686,13.968340357764738
7792.58968,14.762661475023565
9516.952026,15.53021098708601
