Laser detuning [Gamma],x0 [cm],y0 [cm],z0 [cm]
-17.35,-0.0005474727169068163,0.00044399789477141214,-0.944043593570794
-15.8,-0.00018224511976781778,0.0010107050005753767,-0.8199414042651405
-14.26,-8.312113298933506e-05,-0.0005125083890989111,-0.6984990599123502
-12.65,0.00030185270507753544,0.0008191137359451458,-0.5742985420141407
-11.02,0.0005229544753273382,-0.0007162533906336296,-0.4534297390309247
-9.56,0.0006969213023863222,-0.00017122547594866297,-0.35040603979975105
-7.94,-4.057162314583234e-05,-0.00036039117883175393,-0.2444191904818601
-6.4,0.0001542579205165845,0.0008539129928225439,-0.15406181349233647
-4.85,0.00015912686184483887,-9.432413646921073e-05,-0.07995737873809325
-3.31,-3.8668945026669715e-06,9.62587342463175e-06,-0.02986641150074638
-1.76,1.1846372813731527e-05,-9.836886023921378e-06,-0.005602105169132109
